,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
Bacteroidaceae;g,Bacteroides;s,nordii,0,0,0,0,0,0,0,0,0,0,0.0003919160777,0,0,0.0004534347684,0.0001207644066
Bacteroidaceae;g,Bacteroides;s,ovatus,0,0.001142187729,0.00182365478,0.005380224395,0,0.007459339871,0,0,0.002774620579,0.001331986709,0.0007054489399,0.00111348411,0.001254199328,0,0.001025677095
Bacteroidaceae;g,Bacteroides;s,ovatus-sp12288-thetaiotaomicron,0,0,0,0,0,0.006891293949,0,0,0,0,0.0008099598939,0,0,0,0.0001157085563
Bacteroidaceae;g,Bacteroides;s,plebeius,0,0.1397276322,0,0,0,0,0,0,0,0.01359797421,0.003187584099,0.03145136265,0,0,0.006890988708
Bacteroidaceae;g,Bacteroides;s,salyersiae,0,0,0,0.0004374166175,0,0,0,0.0009337068161,0,0.0005123025805,0,0,0,0,0.0002065727709
Bacteroidaceae;g,Bacteroides;s,sp12221,0,0,0,0,0,0,0,0,0,0.001331986709,0,0,0,0,0.0001902838156
Bacteroidaceae;g,Bacteroides;s,sp12248-sp12313,0,0,0,0,0.002131876051,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,sp12275,0,0,0,0,0.02257987029,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,sp12288-thetaiotaomicron,0,0.0002147703422,0.003471535605,0,0,0,0.00167119059,0.04682799046,0.00956074079,0.000497665364,0.001188812102,0,0.001970884658,0.002594654508,0.008948678268
Bacteroidaceae;g,Bacteroides;s,sp12293,0,0,0,0,0,0,0.0003193357816,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,stercoris,0,0,0,0,0.0009608455441,0.01321454198,0.0988770025,0,0,0.0006879491796,0,0.007392804337,0.05285554311,0.1308411215,0.02739677402
Bacteroidaceae;g,Bacteroides;s,thetaiotaomicron,0,0,0,0.001159154036,0.0003302906558,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,uniformis,0,0.006325962806,0.007646167029,0.01528771078,0.001801585395,0.01518775413,0.009452339135,0.09710550887,0.02848164739,0.001771103207,0.006231465635,0.01657448479,0.007614781635,0.0171045671,0.02498336552
Bacteroidaceae;g,Bacteroides;s,vulgatus,0,0.008102699273,0,0.01782472716,0.0321582993,0,0.1836925861,0,0,0.006542835814,0.01762315963,0.03941003596,0,0.03007783964,0.01337912443
Bacteroidaceae;g,Bacteroides;s,xylanisolvens,0,0.001327671206,0.0003954913981,0.005445836887,0.0009608455441,0.0001793829227,0.0003832029379,0.01994501504,0.005616099485,0,0.0077338106,0.0004745997846,0.003045912654,0,0.005259348224
NA;g,NA;s,sp12662,0,0,0,0,0.003633197214,0,0,0,0,0,0,0,0,0,0
Porphyromonadaceae;g,Barnesiella;s,intestinihominis,0,0,0,0,0,0,0,0,0,0,0,0.00282934487,0,0,0.0004041921243
Porphyromonadaceae;g,Barnesiella;s,sp13054,0,0.001269097476,0,0,0,0,0.002171483315,0,0,0,0,0,0,0,0
Porphyromonadaceae;g,Barnesiella;s,sp13055,0,0,0,0,0,0,0,0,0,0.001697917124,0,0,0,0,0.0002425595892
Porphyromonadaceae;g,Butyricimonas;s,paravirosa,0,0,0,0,0,0,0.0001170897866,0.003138292354,0,0,0.0006270657243,0.00334045233,0,0,0.001015115773
Porphyromonadaceae;g,Butyricimonas;s,sp13062,0,0,0,0,0,0,0,0,0,0,0.0004311076855,0.0004563459467,0,0,0.0001267790903
Porphyromonadaceae;g,Butyricimonas;s,virosa,0,0,0,0,0,0,0.0008622066103,0,0,0.0001902838156,0,0.00470949017,0,0,0.0006999677123
Porphyromonadaceae;g,Coprobacter;s,fastidiosus,0,0.0003514423781,0.0003295761651,0,0.0004203699255,0,0.000617382511,0,0,0,0,0,0,0.00108320528,0.0001547436114
Porphyromonadaceae;g,Dysgonomonas;s,capnocytophagoides,0.000193498452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonadaceae;g,Odoribacter;s,sp13171,0,0.0001561966125,0.00116450245,0.0006998665879,0.0008407398511,0,0.0006599606153,0,0.00130373738,0.0003805676313,0,0.002281729734,0.0002911534155,0,0.0006081697373
Porphyromonadaceae;g,Parabacteroides;s,distasonis,0,0.000732171621,0,0.00450539116,0.0005404756185,0.0141712509,0.005918356485,0,0.005148091195,0.0006440375298,0.0008622153709,0.001058722596,0.007816349384,0.006851903166,0.00319733132
Porphyromonadaceae;g,Parabacteroides;s,goldsteinii,0,0,0.003581394327,0,0,0,0.0002341795732,0,0,0,0.0001437025618,0,0,0,0.0000205289374
Porphyromonadaceae;g,Parabacteroides;s,gordonii,0,0,0,0,0,0,0.0003086912555,0,0,0,0,0,0,0,0
Porphyromonadaceae;g,Parabacteroides;s,merdae,0,0.0009371796749,0,0.00426481202,0.002732404516,0,0,0.01829805996,0,0.001507633308,0,0.002847598708,0.002777155655,0.002317555483,0.003964000446
Porphyromonadaceae;g,Parabacteroides;s,sp13269,0,0,0,0,0.002221955321,0,0,0,0,0,0,0,0,0,0
Prevotellaceae;g,NA;s,sp13927,0,0,0,0,0,0,0,0,0,0.01573500783,0,0,0,0,0.002247858262
Prevotellaceae;g,NA;s,sp13940,0,0,0,0,0,0,0,0,0,0.00184428929,0,0,0,0,0.0002634698986
Prevotellaceae;g,NA;s,sp13942,0,0,0,0,0,0,0,0,0,0.06173977956,0,0,0,0,0.008819968509
